PlayerID,PlayerName,Gender,Age,Country,GamePlayed,MembershipLevel,DeviceUsed,Platform,Location,AmountWagered,AmountWon,SessionCount,PaymentMethod,DatePlayed
3bb5222c-6354-4a1b-aa99-6372fdd728ed,Amanda Andrews,Non-binary,23,Eritrea,Keno,Bronze,Tablet,Land-based,Singapore,5485.54,1910.46,22,Crypto,2024-10-09
8c04783d-b3d6-4c4f-b69e-76a512b4850a,Anna Holland,Non-binary,28,Tajikistan,Blackjack,Bronze,Desktop,Online,Online,4388.08,1936.05,30,PayPal,2024-10-16
702351b2-f1ef-42e6-aa42-73585f4faf76,Yvette Jacobs,Male,36,Saint Martin,Roulette,Bronze,Mobile,Online,Monte Carlo,6944.67,6031.78,50,PayPal,2024-11-15
398dbbf7-1a67-4de8-a232-2e12b67b25b9,Natasha Martin,Male,19,Mongolia,Keno,Silver,Mobile,Online,Macau,5561.58,3797.92,9,Credit Card,2024-04-23
84540a84-f5ee-490b-a90b-bfbb6c060223,Jason Morales,Non-binary,34,Burkina Faso,Slot Machine,Silver,Tablet,Land-based,Online,8172.63,5899.12,40,Crypto,2024-09-08
effdee6d-a916-422a-abcc-59a3a6a10f04,Meagan Wolfe,Male,43,Madagascar,Baccarat,Bronze,Desktop,Land-based,Singapore,7783.35,7249.3,9,Crypto,2024-06-29
496e5446-a3d8-498c-9be5-4c6b65bafe1b,Patricia Peters,Male,37,Lesotho,Craps,Gold,Desktop,Land-based,Atlantic City,6453.11,660.75,12,Bank Transfer,2024-05-28
589976fd-d562-44fe-8304-5f5aa246608a,Eric Yang,Non-binary,27,Israel,Keno,Silver,Desktop,Online,Atlantic City,6927.03,3487.84,3,PayPal,2025-01-09
ab5204e2-be00-46bf-a1d9-087340abb8ff,Michael Hunter III,Female,58,France,Slot Machine,Gold,Tablet,Land-based,Singapore,7570.51,2336.11,26,Bank Transfer,2024-10-10
57d1e4a5-1463-4d0d-9990-f5cfe93585c5,Samantha Russell,Male,44,Saint Barthelemy,Craps,Platinum,Desktop,Online,Singapore,3869.92,2210.45,11,Credit Card,2024-09-03
f4565f26-23ab-4b20-9eb8-4ecc1f245c86,Ralph Martin,Non-binary,18,Botswana,Roulette,Bronze,Desktop,Land-based,Singapore,9794.62,803.66,6,PayPal,2024-12-25
cfe250cd-2c3a-46a7-8b9a-f9e6806ae3db,Alex Taylor,Female,73,Georgia,Baccarat,Gold,Desktop,Online,Macau,8021.82,1188.17,25,Bank Transfer,2024-04-11
5cd2f0da-6b62-496f-a258-d9c6c46aac02,Brooke Molina,Female,23,Korea,Slot Machine,Gold,Mobile,Online,Singapore,3542.45,2796.35,31,Credit Card,2024-09-27
bc899172-6623-4ff9-932e-8254827e7693,Kimberly Morris,Male,33,Wallis and Futuna,Keno,Silver,Mobile,Online,Online,7737.24,1719.2,13,Crypto,2024-12-24
ac7275d4-1a4a-4ea6-8bb9-143c968387e7,Joanna Mcguire,Female,26,Qatar,Craps,Gold,Mobile,Land-based,Macau,6322.95,4353.35,26,PayPal,2024-08-27
fed69e46-936b-47e6-a2dd-87053c2d39ad,Amy Carlson,Female,58,Saint Lucia,Poker,Bronze,Desktop,Online,Las Vegas,2611.26,2302.86,13,Credit Card,2024-10-27
a96a7808-e0f1-412d-a3d2-0ad7962ea1bd,Christopher Johnson,Non-binary,23,Eritrea,Keno,Silver,Desktop,Online,Las Vegas,6636.02,4188.08,22,Credit Card,2024-08-23
ecd66b73-001d-4a63-881b-28bf6775de01,James King,Non-binary,28,Rwanda,Slot Machine,Platinum,Tablet,Land-based,Macau,516.22,181.8,25,PayPal,2024-11-10
758ccde9-86ff-4c42-b564-371ac24622a0,Megan Myers,Non-binary,49,Uganda,Keno,Platinum,Desktop,Land-based,Monte Carlo,5218.71,3847.3,24,Credit Card,2024-04-10
b005c161-1d2a-4620-b5c3-fd753f10ffac,Amanda Jones,Male,24,Martinique,Slot Machine,Bronze,Mobile,Online,Online,4171.57,2699.14,29,Bank Transfer,2025-03-22
38171640-5fab-4288-aaae-99444e4f2fb3,Elizabeth Anderson,Male,64,Trinidad and Tobago,Blackjack,Gold,Mobile,Land-based,Macau,9603.42,1689.22,38,Crypto,2024-05-31
88272701-dfae-4a8c-aad2-ec419f07953b,Aaron Carlson,Male,65,New Zealand,Keno,Gold,Tablet,Land-based,Macau,8407.25,5436.59,40,PayPal,2024-10-11
b91bd211-2f11-4e66-9bdd-9af69104f70d,Steven Weber,Female,38,Mayotte,Keno,Platinum,Desktop,Land-based,Macau,2142.83,1812.99,18,Bank Transfer,2025-03-05
14b4bce7-8d4b-4e27-a4be-00fa0723cd52,Joe Evans,Non-binary,37,Mauritania,Poker,Bronze,Tablet,Land-based,Las Vegas,2406.24,536.31,10,Bank Transfer,2024-07-06
611d5428-0965-4149-bf91-1d580dee05b7,Henry Bennett,Male,38,Monaco,Roulette,Gold,Tablet,Land-based,Singapore,5907.39,5730.76,39,Crypto,2024-08-19
e4a79131-1a19-420e-b817-8cef169677aa,Matthew Aguirre,Male,30,Poland,Craps,Silver,Mobile,Online,Online,1137.11,819.84,36,Bank Transfer,2024-10-31
a0d2b346-3aff-42b7-926d-ae4a967135f5,Terry Pearson,Male,34,Honduras,Poker,Gold,Tablet,Land-based,Singapore,5690.67,4265.31,32,Crypto,2024-05-04
7a4c4869-0c60-4988-aefa-c0b7215d25ab,April Simpson,Female,56,Montserrat,Poker,Platinum,Tablet,Online,Atlantic City,4049.6,1457.44,7,Credit Card,2024-05-29
